Service,Cost ($)
AWS CloudFormation,0.0
AWS Cost Explorer,0.0
AWS Data Transfer,-1.94179e-05
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),1.86e-08
EC2 - Other,1.88912e-05
Amazon Elastic Compute Cloud - Compute,0.0
Amazon Elastic Container Service for Kubernetes,0.0
Amazon Elastic Load Balancing,3.819e-07
Amazon Relational Database Service,-1.15e-08
Amazon Simple Storage Service,3.4e-09
Amazon Virtual Private Cloud,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,-1.3429999999999942e-07
